AirLanguageID|AirLanguageCode|ActiveFG|EnglishDescription|IsAboriginalLanguage|FrenchDescription|FilterTvFG|FilterPayFG
189|LIN|1|LINGALA||LINGALA||
190|LIT|1|LITHUANIAN||LITUANIEN||
191|LOL|1|MONGO||MONGO||
192|LOZ|1|LOZI||LOZI||
193|LUB|1|LUBA||LOUBA||
194|LUG|1|LUGANDA||LOUGANDAIS||
195|LUI|1|LUISENO||LUISENO||
196|LUN|1|LUNDA||LOUNDA||
197|LUO|1|LUO (KENYA & TANZANIA)||LUO (KENYA ET TANZANIE)||
198|MAA|1|MANDARIN (DIALECT)||MANDARIN (DIALECTE)||
199|MAC|1|MACEDONIAN||MACEDONIEN||
200|MAD|1|MADURESE||MADURAIS||
201|MAG|1|MAGAHI||MAGAHI||
202|MAH|1|MARSHALL||MARSHALL||
203|MAI|1|MAITHILI||MAITHILI||
204|MAK|1|MAKASAR||MAKASAR||
205|MAL|1|MALAYALAM||MALAYALAM||
206|MAN|1|MANDINGO||MANDINGO||
207|MAO|1|MAORI||MAORI||
208|MAP|1|AUSTRONESIAN (OTHER)||AUSTRONESIEN (AUTRES)||
209|MAR|1|MARATHI||MARATHI||
210|MAS|1|MASAI||MASAI||
211|MAX|1|MANX||MANX||
212|MAY|1|MALAY||MALAIS||
213|MEN|1|MENDE||MENDE||
214|MIC|1|MICMAC|1|MICMAC||
215|MIN|1|MINANGKABAU||MINANGKABAU||
216|MIS|1|MISCELLANEOUS||DIVERS||
217|MKH|1|MON KHMER (OTHER)||MON KHMER (AUTRES)||
218|MLA|1|MALAGASY||MALAIS||
219|MLT|1|MALTESE||MALTAIS||
220|MNI|1|MANIPURI||MANIPURI||
221|MNO|1|MANOBO||MANOBO||
222|MOH|1|MOHAWK (IROQUOIS / MOHAWK)|1|MOHAWK (IROQUOIS / MOHAWK)||
223|MOL|1|MOLDAVIAN||MOLDAVE||
224|MON|1|MONGOL||MONGOL||
225|MOS|1|MOSSI||MOSSI||
226|MUL|1|MULTILINGUAL||MULTILINGUE||
227|MUN|1|MUNDA (OTHER)||MUNDA (AUTRES)||
228|MUS|1|MUSKOGEE|1|MUSKOGEE||
229|MYN|1|MAYAN LANGUAGES||LANGUES MAYAS||
230|NAH|1|NAHUATLAN||NAHUATLAN||
231|NAI|1|NORTH AMERICAN INDIAN (OTHER)|1|INDIEN NORD-AMERICAIN (AUTRES)||
232|NAV|1|NAVAHO|1|NAVAHO||
233|NDE|1|NDEBELE (ZIMBABWE)||NDEBELE (ZIMBABWE)||
234|NDO|1|NDONGA||NDONGA||
235|NEP|1|NEPALI||NEPALAIS||
236|NEW|1|NEWARI||NEWARI||
237|NIC|1|NIGER-KORDOFANIAN (OTHER)||NIGERIEN-KORDOFANIEN (AUTRES)||
238|NIU|1|NIUEAN||NIUEIN||
239|NOR|1|NORWEGIAN||NORVEGIEN||
240|NSO|1|NORTHERN SOTHO||SOTHO SEPTENTRIONAL||
241|NUB|1|NUBIAN||NUBIEN||
242|NWR|1|MARWARI||MARWARI||
243|NYA|1|NYANJA||NYANJA||
244|NYM|1|NYAMWEZI||NYAMWEZI||
245|NYN|1|NYANKOLE||NYANKOLE||
246|NYO|1|NYORO||NYORO||
247|NZI|1|NZIMA||NZIMA||
248|OJI|1|OJIBWAY|1|OJIBWE||
249|ORI|1|ORIYA||ORIYA||
250|OSA|1|OSAGE|1|OSAGE||
251|OSS|1|OSSETIC||OSSETE||
252|OTA|1|OTTOMAN TURKISH||TURC OTTOMAN||
253|OTO|1|OTOMIAN LANGUAGES||LANGUES OTOMI||
254|OTR|1|OTHER||AUTRE||
255|PAA|1|PAPUAN-AUSTRALIAN (OTHER)||PAPOU-AUSTRALIEN||
256|PAG|1|PANGASINAN||PANGASINIEN||
257|PAL|1|PAHLAVI||PAHLAVI||
258|PAM|1|PAMPANGA||PAMPANGA||
259|PAN|1|PUNJABI||PANJABI||
260|PAP|1|PAPIAMENTO||PAPIAMENTO||
261|PAU|1|PALAUAN||PALAUAN||
262|PER|1|PERSIAN||PERSE||
263|PLI|1|PALI||PALI||
264|POL|1|POLISH||POLONAIS||
265|PON|1|PONAPE||PONAPE||
266|POR|1|PORTUGUESE||PROTUGUAIS||
267|PRA|1|PRAKRIT||PRAKRIT||
268|PUS|1|PUSHTO||PUSHTO||
269|QUE|1|QUECHUA||QUECHUA||
270|RAJ|1|RAJASTHANI||RAJASTHANI||
271|RAR|1|RAROTONGAN||RAROTONGAN||
272|ROA|1|ROMANCE (OTHER)||ROMAN (AUTRES)||
273|ROH|1|RHAETO-ROMANCE||RHAETO-ROMAN||
274|ROM|1|ROMANY||ROMANY||
275|RUM|1|ROMANIAN||ROUMAIN||
276|RUN|1|RUNDI||RUNDI||
277|RUS|1|RUSSIAN||RUSSE||
278|SAD|1|SANDAWE||SANDAWE||
279|SAG|1|SANGO||SANGO||
280|SAL|1|SALISHAN LANGUAGES||LANGUES SALISHANES||
281|SAM|1|SAMARITAN ARAMIC||ARAMEEN SAMARITAIN||
282|SAN|1|SANSKRIT||SANSKRIT||
283|SAO|1|SAMOAN||SAMOAN||
284|SCC|1|SERBO-CROATIAN  (CYRILLIC)||SERBO-CROATE (CYRILLIQUE)||
285|SCO|1|SCOTS||ECOSSAIS||
286|SEL|1|SELKUP||SELKUP||
287|SEM|1|SEMITIC (OTHER)||SEMITIQUE (AUTRES)||
288|SHN|1|SHAN||SHAN||
289|SHO|1|SHONA||SHONA||
290|SID|1|SIDAMO||SIDAMO||
291|SIO|1|SIOUAN LANGUAGES||LANGUES SIOUANES||
292|SIT|1|SINO-TIBETAN (OTHER)||SINO-THIBETAIN (AUTRES)||
293|SLA|1|SLAVIC (OTHER)||SLAVE (AUTRES)||
294|SLO|1|SLOVAK||SLOVAQUE||
295|SLV|1|SLOVENIAN||SLOVENE||
296|SND|1|SINDHI||SINDHI||
297|SNH|1|SINHALESE||CINGALAIS||
298|SOG|1|SOGDIAN||SOGDIEN||
299|SOM|1|SOMALI||SOMALI||
300|SON|1|SONGHAI||SONGHAI||
301|SPA|1|SPANISH||ESPAGNOL||
302|SRR|1|SERER||SERER||
303|SSA|1|NILO-SAHARAN (OTHER)||NILO-SAHARIEN (AUTRES)||
304|SSO|1|SOUTHERN SOTHO||SOTHO DU SUD||
305|SUK|1|SUKUMA||SUKUMA||
306|SUN|1|SUNDANESE||SOUDANAIS||
307|SUS|1|SUSU||SUSU||
308|SUX|1|SUMERIAN||SUMERIEN||
