LogIdentifierID|LogServiceID|PrimaryFG
HTN14|3485|1
HTN15|3486|1
HTN16|3487|1
HTN17|3488|1
HTN18|3489|1
HTN19|3490|1
HTN20|3491|1
HTN21|3492|1
HTN22|3493|1
HTN23|3494|1
HTN24|3495|1
HTN25|3496|1
HTN26|3497|1
HTN27|3498|1
HTN28|3499|1
HTN29|3500|1
HTN30|3501|1
HTN31|3502|1
HTN32|3503|1
HTN33|3504|1
HTN34|3505|1
HTN35|3506|1
HTN36|3507|1
HTN37|3508|1
HTN38|3509|1
HTN39|3510|1
HTN40|3511|1
HTN41|3512|1
HTN42|3513|1
HTN43|3514|1
HTN44|3515|1
HTN45|3516|1
HTN46|3517|1
HTN47|3518|1
HTN48|3519|1
HTN49|3520|1
HTN50|3521|1
ICHANN|3522|1
IDM|3523|0
IDNR|3524|1
IFC|3525|1
IN01|3526|1
IN02|3527|1
IN03|3528|1
IN04|3529|1
IN05|3530|1
IN06|3531|1
IN07|3532|1
IN08|3533|1
IN09|3534|1
IN10|3535|1
IN11|3536|1
IN12|3537|1
IN13|3538|1
IN14|3539|1
IN15|3540|1
IN16|3541|1
IN17|3542|1
IN18|3543|1
IN19|3544|1
IN20|3545|1
IN21|3546|1
IN22|3547|1
IN23|3548|1
IN24|3549|1
IN25|3550|1
IN26|3551|1
IN27|3552|1
IN28|3553|1
IN29|3554|1
IN30|3555|1
IN31|3556|1
IN32|3557|1
IN33|3558|1
IN34|3559|1
IN35|3560|1
IN36|3561|1
IN37|3562|1
IN38|3563|1
IN39|3564|1
INDIGO|3526|0
INVDIS|3410|1
INVST|3565|1
IRAN|3566|1
ISRL|3567|1
JUICE|3633|1
KBS|3568|1
LCE|3264|0
LCN|3569|1
LCNA|3570|0
LEAF|3571|1
LEOWLD|3572|1
LIFE|3573|0
LIFENT|3573|1
LONE|3574|1
LOUD|3575|1
LOVE|3915|1
LST|3576|1
LUXE|3577|1
MAGI|3578|1
MAGINO|3626|1
MAKE|3223|1
MC01|3579|1
MC02|3580|1
MC03|3581|1
MC04|3582|1
MC1|3583|1
MC2|3584|1
MC3|3585|1
MC4|3586|1
MEGA|3587|0
MEHD|3588|1
MENTV|3589|0
MGM|3590|0
MLLE|3591|0
MMAX|3592|1
MMM|3593|0
MMRETR|3594|1
MOICIE|3591|1
MOVIE|3595|1
MOVIEMAX|3602|0
MOVIEP|3596|1
MOVMAX|3602|0
MOVPIX|3596|0
MPIX2|3597|1
MPLU|3598|1
MSET|3599|1
MSNBC|3600|1
MTV|3635|0
MTV1|3690|1
MTV2|3633|0
MUCH|3601|0
MUCHM|3601|1
MUCHMUSIC|3601|0
MUSIMAX|3592|0
MUSIP|3598|0
MUSIQUE PL|3598|0
MVMX01|3602|1
MVMX02|3603|1
MVOLA|3604|1
MYST|3605|0
NATUR|3616|1
NDTV|3606|1
NEOCRI|3607|1
NEWS1|3417|0
NEWSNET|3417|0
NEWSW|3608|1
NGCE|3609|1
NGWILD|3610|1
NHL|3611|0
NHLN|3611|1
NICK|3612|1
NINOS|3613|1
NMTV|3614|1
NNTV|3615|1
OASIS|3616|0
OLN|3621|0
OMAB|3919|1
OMBC|3923|1
OMNI.2|3360|0
OMON|3924|1
OMQC|3925|1
ONEBMS|3617|1
OTN1|3618|1
OTN2|3619|1
OTN3|3620|1
OUTDOOR|3621|0
OUTDR|3621|1
OUTTV|3627|0
OWN|3402|1
PCTVEC|3658|0
PENT|3622|1
PERSIA|3623|1
PET|3624|1
PHDCHA|3625|0
PHDF|3626|0
PLAY|3464|1
PREM CHOIX|3658|0
PRIDE|3627|1
PRIM|3628|0
PRIME|3628|0
PRIMETV|3628|0
PRIS|3629|1
PROS|3630|1
PTC|3631|1
PULSE 24|3632|0
PUNCHM|3633|0
RADX|3645|0
RAPT|3634|1
RAZER|3635|1
RDI|3636|1
RDS|3637|1
RDS2|3638|1
RDSINF|3640|1
REAL|3639|1
RIS|3640|0
ROBTV|3641|0
RTV2|3644|0
RTVI|3643|0
RTVI+|3644|0
RURAL|3642|1
RUS1|3643|1
RUS2|3644|1
RUSH|3645|0
S3|3670|0
SAB|3646|1
SAHARA|3647|1
SALT|3648|1
SATV|3649|1
SCHD01|3650|1
SCHD02|3651|1
SCOPEM|3652|0
SCORE|3652|0
SCREAM|3653|1
SCSD01|3654|1
SCSD02|3655|1
SCSD03|3656|1
SCSD04|3657|1
SE01|3658|1
SE02|3659|1
SE03|3660|1
SE04|3661|1
SEAS|3662|1
SERIEP|3663|1
SEXTV|3664|0
SHOW|3665|1
SHOWC|3665|0
SHOWCASE|3665|0
SKIN|3666|1
SKYNEW|3667|1
SLICE|3573|0
SLVSC|3668|1
SMC|3466|0
SMITH|3443|1
SN2|3669|1
SN360|3652|1
SNEST|3670|1
SNONE|3671|1
SNONT|3672|1
SNPAC|3673|1
SNW360|3674|1
SNWST|3675|1
SPACE|3676|1
SPARK|3677|1
SPRTVA|3678|1
SPTVA2|3679|1
SRC|3680|1
SSTV|3681|1
STAR|3682|0
STAR!|3682|0
SUN|3434|1
SUNEWS|3683|1
SUPERCHA|3684|0
SUPERêCRAN|3658|0
SUPR01|3684|1
SUPR02|3685|1
SUPR03|3686|1
SUPR04|3687|1
TAC|3688|0
TALENT|3689|0
TALKTV|3690|0
TAMIL|3691|1
TANG|3692|1
TCC|3693|1
TCN|3694|1
TDC|3695|1
TECHTV|3696|1
TELENO|3697|1
TELETOON|3708|0
TENCH1|3698|1
TENCH2|3699|1
TFO|3318|0
THTV|3713|1
TIMESN|3700|1
TLNSP|3701|1
TLTOO|3702|0
TLTOON|3702|1
TMN1|3703|1
TMN2|3704|1
TMN3|3705|1
TMN4|3706|1
TMN5|3707|1
TOON|3708|1
TOONR|3709|0
TOONRF|3710|0
TQS|3711|0
TRAVEL|3712|0
TREEHOUSE|3713|0
TRESR|3714|1
TRN|3715|0
TRV|3712|1
TSN|3716|1
TSN1|3717|1
TSN2|3718|1
TSN3|3906|1
TSN5|3907|1
TSNC|3719|1
TSNJ|3720|1
TTV|3689|1
TTV2|3721|1
TV5|3722|1
TVA|3723|1
TVADIK|3605|1
TVI|3724|1
TVLAND|3725|0
TVO|3329|0
